CENTER_ID,CENTER_FR,CENTER_AR,CIRCONSCRIPTION_ID,CIRCONSCRIPTION_FR,CIRCONSCRIPTION_AR,DELEGATION_ID,DELEGATION_FR,DELEGATION_AR,SOUS_DELEGATION_AR,LATITUDE,LONGITUDE
1001,E.P.ZOUHOUR 4 PROLONGEE HRAIRIA,م إبتدائية حي الزهور 4 الممتدّ - الحرائرية,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الحرائرية,36.793974,10.121875
1002,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الحرائرية,36.787866,10.123078
1003,E.P.HRAIRIA 3 -HRAIRIA,م إبتدائية الحرايرية 3 - الحرائرية,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الحرائرية,36.790492,10.121185
1004,E.P.ZOUHOUR 5 PROLONGEE 1,م إبتدائية حي الزهور 5 الممتدّ 1 - الزهور الخامس,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهور الخامس,36.789193,10.109886
1005,E.P. ALMOUMTAD2 EZZOUHOUR 5,م إبتدائية حي الزهور 5 الممتدّ 2 - الزهور الخامس,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهور الخامس,36.788784,10.109431
1006,E.P.ZOUHOUR 5-1 -ZOUHOUR 5,م إبتدائية حي الزهور 1/5 - الزهور الخامس,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهور الخامس,36.792787,10.117346
1007,E.P.OKBA IBN NAFAA 2 -ZHOUR 5,م إبتدائية عقبة ابن نافع 2 الزهور - الزهور الخامس,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهور الخامس,36.788152,10.10206
1008,E.P.CITE ZOUHOUR 5-2,م إبتدائية حي الزهور 5 / 2 - الزهور الخامس,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهور الخامس,36.789508,10.106536
1009,E.P.OKBA IBN NAFAA 1,م إبتدائية عقبة ابن نافع 1 - الزهور الخامس,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهور الخامس,36.787875,10.101569
1010,E.P.MECHTEL 1 -AGBA,م إبتدائية المشتل 1 - العقبة,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,العقبة,36.793735,10.096394
1011,E.P.MECHTEL 2 AGBA,م إبتدائية المشتل 2 - العقبة,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,العقبة,36.788089,10.100729
1012,E.P.CITE ESSAHA HRAIRIA AGBA SUP,م إبتدائية حي الصحة الحرايرية - العقبة العليا,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,العقبة العليا,36.792602,10.087417
1013,E.P.GHEDIR EL GOULLA,م إبتدائية غدير القلة,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,غدير القلة,36.779258,10.053083
1014,E.P.CITE EL ANTIT,م إبتدائية حي العنتيت,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,العنتيت,36.792787,10.117346
1015,E.P.CITE FOLLA,م إبتدائية حي الفلة,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الفلة,36.7971584,10.1053562
1016,E.P.C. BOUZAIEN EZOUHOUR -TAREK IBN ZIED,م إبتدائية حي بوزيان الزهور - طارق بن زياد,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,طارق بن زياد,36.795704,10.117796
1017,E.P.18 JANVIER HRAIRIA EZZAHROUNI,م إبتدائية 18جانفي الحرايرية - الزهروني,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهروني,36.79031,10.118644
1018,E.P.EZZAHROUNI,م إبتدائية الزهروني,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهروني,36.7930266,10.1163764
1019,E.P.CITE ESSALAMA EZZAHROUNI,م إبتدائية حي السلامة - الزهروني,1,Tunis 1,تونس 1,1000,Hraïria,الحرائرية,الزهروني,36.784719,10.115613
1029,E.P.2 MARS 34 MALLASSINE -ALI BELHOUANE,م إبتدائية 2مارس 34 الملاسين - علي البلهوان,1,Tunis 1,تونس 1,1002,Séjoumi,السيجومي,علي البلهوان,36.798096,10.158533
1030,E.P.EN'NAJEH MALLASSINE,م إبتدائية النجاح الملاسين,1,Tunis 1,تونس 1,1002,Séjoumi,السيجومي,النجاح,36.790653,10.1619
1031,E.P.BAB KHALED MALLASSINE -ENNAJEH,م إبتدائية باب خالد الملاسين - النجاح,1,Tunis 1,تونس 1,1002,Séjoumi,السيجومي,النجاح,36.792488,10.158698
1050,E.P.7 RUE DOCTEUR CASSAR,م إبتدائية نهج الحكيم كسار - الحفصية,1,Tunis 1,تونس 1,1004,Médina,المدينة,الحفصية,36.80274,10.1699
1052,E.P.PLACE LEADER -BAB MNARA,م إبتدائية ساحة معقل الزعيم - باب منارة,1,Tunis 1,تونس 1,1004,Médina,المدينة,باب المنارة,36.79269,10.164906
1053,E.P.BAB JEDID -TOURBIT ELBEY,م إبتدائية باب الجديد - تربة الباي,1,Tunis 1,تونس 1,1004,Médina,المدينة,تربة الباي,36.79216,10.173194
1054,E.P.RUE KOTTAB LOUZIR -SIDI ALI AZOUZ,م إبتدائية نهج كتاب الوزير - سيدي علي عزوز,1,Tunis 1,تونس 1,1004,Médina,المدينة,سيدي علي عزوز,36.796852,10.174021
1055,E.P.SADIKI RUE SINAN PACHA TAOUFIK,م إبتدائية الصادقية نهج سنان باشا - التوفيق,1,Tunis 1,تونس 1,1004,Médina,المدينة,التوفيق,36.798828,10.166001
1056,E.P.EL WAFA RUE SALAH MALKI -OUARDIA,م إبتدائية الوفاء نهج صالح المالقي - الوردية,1,Tunis 1,تونس 1,1005,El Ouardia,الوردية,الوردية,36.769611,10.179261
1057,E.P.RUE KHARROUBA -HABIB BOUGATFA,م إبتدائية بالفي نهج الخروبة - الحبيب بو قطفة,1,Tunis 1,تونس 1,1005,El Ouardia,الوردية,بوقطفة,36.776845,10.1915
1058,E.P.CITE IZDIHAR -OURDIA,م إبتدائية حي الازدهار الوردية,1,Tunis 1,تونس 1,1005,El Ouardia,الوردية,حي الإزدهار,36.770372,10.182757
1059,E.P.2 MARS MONFOCON LA CANIA -IZDIHAR,م إبتدائية 2مارس لاكانيا - الازدهار,1,Tunis 1,تونس 1,1005,El Ouardia,الوردية,حي الإزدهار,36.772516,10.181368
1060,E.P.EL OUARDIA 1 -CITE MOHAMED ALI,م إبتدائية الوردية 1 - حي محمّد علي,1,Tunis 1,تونس 1,1005,El Ouardia,الوردية,حي محمد علي,36.767717,10.185852
1061,E.P.CITE MED ALI,م إبتدائية حي محمد علي الوردية,1,Tunis 1,تونس 1,1005,El Ouardia,الوردية,حي محمد علي,36.767169,10.189645
1062,E.P.RUE DE LA SOMME -SIDIBELHASSEN,م إبتدائية نهج لاصوم - سيدي بالحسن,1,Tunis 1,تونس 1,1005,El Ouardia,الوردية,سيدي بلحسن,36.778803,10.188725
